1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0.040975988,0.052635131,-1,0.073663022,0.067512071,0.059618625,0.057262605,0.103699646,0.069797965,-1,-1,0.064455768,-1,0.069964535,0.065803817,-1,-1,-1,0.051914646,0.049007294,0.054039048,-1,0.040647956,0.02069193,0.023053398,0.029352385,0.023756886,0.031118859,0.031572318,0,0.013827118,-1,-1,0.245130433,0.227310313,-1,-1,-1,-1,-1,-1,0.272364208,0.180976733,-1,-1,-1
0.041826551,0.053620614,-1,0.074612703,0.068496113,0.060607582,0.05825108,0.10468883,0.070787149,-1,-1,0.065444975,-1,0.070948384,0.066787823,-1,-1,-1,0.055262237,0.052353887,0.057386601,-1,0.043994421,0.022654799,0.025058682,0.03000349,0.024879608,0.03201278,0.032476108,0.013827118,0,-1,-1,0.24597888,0.228158767,-1,-1,-1,-1,-1,-1,0.273212656,0.18182518,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.231721337,0.238270457,-1,0.256801005,0.253061014,0.245453613,0.243070166,0.289547457,0.255645776,-1,-1,0.250304874,-1,0.255501865,0.251350639,-1,-1,-1,0.279506785,0.27659344,0.281630957,-1,0.268233365,0.244837243,0.246975861,0.244165216,0.24135121,0.237301922,0.237664257,0.245130433,0.24597888,-1,-1,0,0.045215041,-1,-1,-1,-1,-1,-1,0.052740153,0.071664376,-1,-1,-1
0.213901217,0.220450338,-1,0.238980885,0.235240894,0.227633494,0.225250047,0.271727338,0.237825657,-1,-1,0.232484755,-1,0.237681746,0.233530519,-1,-1,-1,0.261686668,0.25877332,0.263810838,-1,0.250413245,0.22701712,0.229155742,0.226345097,0.22353109,0.219481802,0.219844138,0.227310313,0.228158767,-1,-1,0.045215041,0,-1,-1,-1,-1,-1,-1,0.072709182,0.053832167,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.158893441,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.158893441,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
0.258955112,0.265504233,-1,0.28403478,0.280294789,0.272687389,0.270303942,0.316781233,0.282879552,-1,-1,0.27753865,-1,0.28273564,0.278584414,-1,-1,-1,0.306740562,0.303827215,0.308864733,-1,0.29546714,0.272071019,0.274209637,0.271398992,0.268584985,0.264535697,0.264898033,0.272364208,0.273212656,-1,-1,0.052740153,0.072709182,-1,-1,-1,-1,-1,-1,0,0.098898382,-1,-1,-1
0.167567637,0.174116757,-1,0.192647305,0.188907314,0.181299913,0.178916466,0.225393757,0.191492076,-1,-1,0.186151175,-1,0.191348165,0.187196939,-1,-1,-1,0.215353087,0.21243974,0.217477257,-1,0.204079665,0.180683544,0.182822161,0.180011516,0.17719751,0.173148222,0.173510557,0.180976733,0.18182518,-1,-1,0.071664376,0.053832167,-1,-1,-1,-1,-1,-1,0.098898382,0,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.116330471
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.116330471,0
